adapter_radius_angstrom,case,spacing_angstrom,cross_fragment_edges,energy_ev,electrostatic_energy_ev,first_region_charge_e
6.5,ionic_regional,5.4,240,-26857.92532767924,-1.0424300578187922,1.0
6.5,ionic_regional,5.5,240,-26858.153658676143,-1.0112011369409577,1.0
6.5,ionic_regional,5.6,224,-26858.549356637806,-0.9817343015191593,0.9999999999999998
6.5,ionic_regional,5.8,164,-26859.04502442774,-0.9271051641691612,1.0
6.5,ionic_regional,6.0,124,-26859.059345008696,-0.8800367964546942,0.9999999999999997
6.5,ionic_regional,6.2,88,-26859.01714422757,-0.8378360153270297,0.9999999999999997
8.0,total_charge,5.0,440,-26859.956509268806,-2.0124365366064256,0.02443101899218933
8.0,total_charge,5.2,440,-26859.927488104222,-2.0052846161754747,0.02143751125988548
8.0,total_charge,5.4,432,-26859.89847727121,-1.9932699976803006,0.017167684371441283
8.0,total_charge,5.5,432,-26859.88606923098,-1.9866681134446214,0.015091869543232134
8.0,total_charge,5.6,416,-26859.879526014014,-1.9846212896706605,0.013605425692299347
8.0,total_charge,5.8,416,-26859.871765354565,-1.9811432374914393,0.01269159464648778
8.0,total_charge,6.0,400,-26859.869001695006,-1.9779371966869435,0.012678579675332036
8.0,total_charge,6.2,400,-26859.867543198274,-1.976478699953312,0.012678579675332036
8.0,neutral_regional,5.0,440,-26859.94693597452,-1.9761853889992074,2.498001805406602e-16
8.0,neutral_regional,5.2,440,-26859.918102185457,-1.9729747769231822,-1.1102230246251565e-16
8.0,neutral_regional,5.4,432,-26859.888006412388,-1.9669939060628117,-6.938893903907228e-17
8.0,neutral_regional,5.5,432,-26859.87266694209,-1.9634742285906353,-4.163336342344337e-17
8.0,neutral_regional,5.6,416,-26859.86147295066,-1.9636809851958261,-2.498001805406602e-16
8.0,neutral_regional,5.8,416,-26859.84775495348,-1.9615546445423917,6.938893903907228e-17
8.0,neutral_regional,6.0,400,-26859.844131293474,-1.958263614325179,-3.3306690738754696e-16
8.0,neutral_regional,6.2,400,-26859.842557430893,-1.9566897517434008,-3.3306690738754696e-16
8.0,ionic_regional,5.0,440,-26857.90541751832,-1.1443014988002356,1.0000000000000002
8.0,ionic_regional,5.2,440,-26857.853335184078,-1.0950361328302745,1.0
8.0,ionic_regional,5.4,432,-26857.92532767924,-1.0424300578187922,1.0
8.0,ionic_regional,5.5,432,-26858.153658676143,-1.0112011369409577,1.0
8.0,ionic_regional,5.6,416,-26858.549356637806,-0.9817343015191593,0.9999999999999998
8.0,ionic_regional,5.8,416,-26859.04502442774,-0.9271051641691612,1.0
8.0,ionic_regional,6.0,400,-26859.059345008696,-0.8800367964546942,0.9999999999999997
8.0,ionic_regional,6.2,400,-26859.01714422757,-0.8378360153270297,0.9999999999999997
10.0,total_charge,5.0,480,-26859.956509268806,-2.0124365366064256,0.02443101899218933
10.0,total_charge,5.2,480,-26859.927488104222,-2.0052846161754747,0.02143751125988548
10.0,total_charge,5.4,480,-26859.89847727121,-1.9932699976803006,0.017167684371441283
10.0,total_charge,5.5,480,-26859.88606923098,-1.9866681134446214,0.015091869543232134
10.0,total_charge,5.6,480,-26859.879526014014,-1.9846212896706605,0.013605425692299347
10.0,total_charge,5.8,480,-26859.871765354565,-1.9811432374914393,0.01269159464648778
10.0,total_charge,6.0,480,-26859.869001695006,-1.9779371966869435,0.012678579675332036
10.0,total_charge,6.2,480,-26859.867543198274,-1.976478699953312,0.012678579675332036
10.0,neutral_regional,5.0,480,-26859.94693597452,-1.9761853889992074,2.498001805406602e-16
10.0,neutral_regional,5.2,480,-26859.918102185457,-1.9729747769231822,-1.1102230246251565e-16
10.0,neutral_regional,5.4,480,-26859.888006412388,-1.9669939060628117,-6.938893903907228e-17
10.0,neutral_regional,5.5,480,-26859.87266694209,-1.9634742285906353,-4.163336342344337e-17
10.0,neutral_regional,5.6,480,-26859.86147295066,-1.9636809851958261,-2.498001805406602e-16
10.0,neutral_regional,5.8,480,-26859.84775495348,-1.9615546445423917,6.938893903907228e-17
